----- Initial parameters: -----
fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4002628    1
[2,]  1300.000       -0.2451952    1
[3,]     0.035      458.6138959    1
Condition number of the (active) hessian: 1544360577 
lam= 40.90935 ,nu= 6.088393 ,phi= 1153.599 ,omega= 0.03585646 ,f= -1053.617 ,
lam= 38.54287 ,nu= NaN ,phi= 324.889 ,omega= -0.01887024 ,f= NaN ,
lam= 37.13872 ,nu= NaN ,phi= 673.7957 ,omega= 0.01088213 ,f= NaN ,
lam= 36.43664 ,nu= NaN ,phi= 848.249 ,omega= 0.02575831 ,f= NaN ,
lam= 36.08561 ,nu= NaN ,phi= 935.4757 ,omega= 0.03319641 ,f= NaN ,
lam= 35.91009 ,nu= NaN ,phi= 979.089 ,omega= 0.03691545 ,f= NaN ,
lam= 35.82233 ,nu= NaN ,phi= 1000.896 ,omega= 0.03877497 ,f= NaN ,
lam= 35.77845 ,nu= NaN ,phi= 1011.799 ,omega= 0.03970474 ,f= NaN ,
lam= 35.75651 ,nu= NaN ,phi= 1017.251 ,omega= 0.04016962 ,f= NaN ,
lam= 35.74554 ,nu= NaN ,phi= 1019.977 ,omega= 0.04040206 ,f= NaN ,
lam= 35.74006 ,nu= NaN ,phi= 1021.339 ,omega= 0.04051828 ,f= NaN ,
lam= 35.73731 ,nu= 4.984438 ,phi= 1022.021 ,omega= 0.04057639 ,f= -1046.828 ,
lam= 35.73731 ,nu= 4.984438 ,phi= 1022.021 ,omega= 0.04057639 ,f= -1046.828 ,
-----Iteration 6 -----
lam= 35.74064 ,nu= NaN ,phi= 1002.339 ,omega= -0.02209278 ,f= NaN ,
lam= 35.73898 ,nu= NaN ,phi= 1012.18 ,omega= 0.009241804 ,f= NaN ,
lam= 35.73814 ,nu= NaN ,phi= 1017.1 ,omega= 0.0249091 ,f= NaN ,
lam= 35.73773 ,nu= NaN ,phi= 1019.561 ,omega= 0.03274274 ,f= NaN ,
lam= 35.73752 ,nu= NaN ,phi= 1020.791 ,omega= 0.03665956 ,f= NaN ,
lam= 35.73742 ,nu= NaN ,phi= 1021.406 ,omega= 0.03861798 ,f= NaN ,
lam= 35.73736 ,nu= NaN ,phi= 1021.713 ,omega= 0.03959718 ,f= NaN ,
lam= 35.73734 ,nu= NaN ,phi= 1021.867 ,omega= 0.04008678 ,f= NaN ,
lam= 35.73733 ,nu= NaN ,phi= 1021.944 ,omega= 0.04033159 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.982 ,omega= 0.04045399 ,f= NaN ,
lam= 35.73732 ,nu= 4.959865 ,phi= 1022.002 ,omega= 0.04051519 ,f= -1044.927 ,
lam= 35.73732 ,nu= 4.959865 ,phi= 1022.002 ,omega= 0.04051519 ,f= -1044.927 ,
-----Iteration 7 -----
lam= 35.73731 ,nu= NaN ,phi= 1018.898 ,omega= -0.01455289 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1020.45 ,omega= 0.01298115 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1021.226 ,omega= 0.02674817 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1021.614 ,omega= 0.03363168 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.808 ,omega= 0.03707343 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.905 ,omega= 0.03879431 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.953 ,omega= 0.03965475 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.977 ,omega= 0.04008497 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.99 ,omega= 0.04030008 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.996 ,omega= 0.04040763 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.04046141 ,f= NaN ,
lam= 35.73732 ,nu= 4.940876 ,phi= 1022 ,omega= 0.0404883 ,f= -1043.293 ,
lam= 35.73732 ,nu= 4.940876 ,phi= 1022 ,omega= 0.0404883 ,f= -1043.293 ,
-----Iteration 8 -----
lam= 35.73729 ,nu= NaN ,phi= 1008.019 ,omega= -0.00842325 ,f= NaN ,
lam= 35.7373 ,nu= NaN ,phi= 1015.01 ,omega= 0.01603252 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1018.505 ,omega= 0.02826041 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1020.253 ,omega= 0.03437435 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1021.126 ,omega= 0.03743133 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.563 ,omega= 0.03895981 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.782 ,omega= 0.03972406 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.891 ,omega= 0.04010618 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.946 ,omega= 0.04029724 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.973 ,omega= 0.04039277 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.987 ,omega= 0.04044053 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.993 ,omega= 0.04046442 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.997 ,omega= 0.04047636 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.998 ,omega= 0.04048233 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.04048531 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048681 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048755 ,f= NaN ,
lam= 35.73732 ,nu= 4.934446 ,phi= 1022 ,omega= 0.04048793 ,f= -1042.661 ,
lam= 35.73732 ,nu= 4.934446 ,phi= 1022 ,omega= 0.04048793 ,f= -1042.661 ,
-----Iteration 9 -----
lam= 35.73729 ,nu= NaN ,phi= 991.2419 ,omega= -0.006176886 ,f= NaN ,
lam= 35.7373 ,nu= NaN ,phi= 1006.621 ,omega= 0.01715552 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1014.311 ,omega= 0.02882172 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1018.155 ,omega= 0.03465482 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1020.078 ,omega= 0.03757137 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.039 ,omega= 0.03902965 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.519 ,omega= 0.03975879 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.76 ,omega= 0.04012336 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.88 ,omega= 0.04030564 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.94 ,omega= 0.04039678 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.97 ,omega= 0.04044235 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.985 ,omega= 0.04046514 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.993 ,omega= 0.04047653 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.996 ,omega= 0.04048223 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.998 ,omega= 0.04048508 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.0404865 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048721 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048757 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048775 ,f= NaN ,
lam= 35.73732 ,nu= 4.922718 ,phi= 1022 ,omega= 0.04048784 ,f= -1041.576 ,
lam= 35.73732 ,nu= 4.922718 ,phi= 1022 ,omega= 0.04048784 ,f= -1041.576 ,
-----Iteration 10 -----
lam= 35.73729 ,nu= NaN ,phi= 897.938 ,omega= -0.002494714 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 959.969 ,omega= 0.01899656 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 990.9845 ,omega= 0.0297422 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1006.492 ,omega= 0.03511502 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 1014.246 ,omega= 0.03780143 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1018.123 ,omega= 0.03914463 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1020.062 ,omega= 0.03981623 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.031 ,omega= 0.04015204 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.515 ,omega= 0.04031994 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.758 ,omega= 0.04040389 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.879 ,omega= 0.04044586 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.939 ,omega= 0.04046685 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.97 ,omega= 0.04047734 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.985 ,omega= 0.04048259 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.992 ,omega= 0.04048521 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.996 ,omega= 0.04048652 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.998 ,omega= 0.04048718 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.04048751 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048767 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048775 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.0404878 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048782 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= 4.898076 ,phi= 1022 ,omega= 0.04048783 ,f= -1039.581 ,
lam= 35.73732 ,nu= 4.898076 ,phi= 1022 ,omega= 0.04048783 ,f= -1039.581 ,
-----Iteration 11 -----
lam= 35.7373 ,nu= NaN ,phi= -1182.615 ,omega= 0.01006455 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= -80.30756 ,omega= 0.02527619 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 470.8462 ,omega= 0.03288201 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 746.4231 ,omega= 0.03668492 ,f= NaN ,
lam= 35.73731 ,nu= NaN ,phi= 884.2116 ,omega= 0.03858638 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 953.1058 ,omega= 0.0395371 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 987.5529 ,omega= 0.04001247 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1004.776 ,omega= 0.04025015 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1013.388 ,omega= 0.04036899 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1017.694 ,omega= 0.04042841 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1019.847 ,omega= 0.04045812 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1020.924 ,omega= 0.04047298 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.462 ,omega= 0.0404804 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.731 ,omega= 0.04048412 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.865 ,omega= 0.04048597 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.933 ,omega= 0.0404869 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.966 ,omega= 0.04048737 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.983 ,omega= 0.0404876 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.992 ,omega= 0.04048772 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.996 ,omega= 0.04048777 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.998 ,omega= 0.0404878 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.04048782 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1021.999 ,omega= 0.04048782 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= NaN ,phi= 1022 ,omega= 0.04048783 ,f= NaN ,
lam= 35.73732 ,nu= 4.888183 ,phi= 1022 ,omega= 0.04048783 ,f= -1038.874 ,
lam= 35.73732 ,nu= 4.888183 ,phi= 1022 ,omega= 0.04048783 ,f= -1038.874 ,
-----Iteration 12 -----
--------------
Last step could not find a value above the current.
Boundary of parameter space?  
Consider switching to a more robust optimisation method temporarily. 
12  iterations
estimate: 35.73732 1022 0.04048783 
Function value: -1038.874 
lam= 35.73732 ,nu= 4.888183 ,phi= 1022 ,omega= 0.04048783 ,f= -1038.874 ,
lam= 35.73732 ,nu= 4.888183 ,phi= 1022 ,omega= 0.04048783 ,f= -1038.874 ,
